US	230273821	1.6	60
GB	230273821	1.4	60
FR	230273821	1.4	60
IT	230273821	1.4	60
NL	230273821	1.4	60
PL	230273821	1.2	60
RU	222089300	1	45
UA	222089300	0.6	40
NL	222089300	1	45
BY	222089300	0.8	40
IL	222089300	1.2	50
CL	222089300	1	45
RO	222089300	0.8	40
CZ	222089300	1.2	50
HU	222089300	0.8	40
PT	222089300	1	45
LB	222089300	0.5	40
SK	222089300	0.8	40
LT	222089300	0.8	40
LV	222089300	0.8	40
NZ	222089300	0.8	40
BG	222089300	0.8	40
MD	222089300	0.8	40
AM	222089300	0.8	40
DZ	222089300	0.2	30
LK	222089300	0.5	40
AL	222089300	0.8	40
EE	222089300	0.8	40
MK	222089300	0.8	40
SI	222089300	0.8	40
GH	222089300	0.3	35
UZ	222089300	0.3	35
MU	222089300	0.3	35
NA	222089300	0.3	35
CY	222089300	0.3	35
TM	222089300	0.3	35
IS	222089300	0.3	35
BR	222089300	1	45
MA	222089300	0.3	35
SV	222089300	0.3	35
TZ	222089300	0.3	35
JM	222089300	0.3	35
HN	222089300	0.3	35
PY	222089300	0.3	35
TT	222089300	0.3	35
YE	222089300	0.3	35
MO	222089300	0.3	35
SRB	222089300	0.3	35
TJ	222089300	0.3	35
BT	222089300	0.3	35
ZW	222089300	0.3	35
LU	222089300	0.8	40
BB	222089300	0.3	35
ML	222089300	0.3	35
CV	222089300	0.3	35
FJ	222089300	0.3	35
Co	222089300	0.8	40
JO	222089300	0.3	35
KH	222089300	0.3	35
AZ	222089300	0.3	35
NG	222089300	0.3	35
KZ	222089300	0.6	40
PE	222089300	0.5	40
KG	222089300	0.5	40
ES	222089300	0.6	50
HR	222089300	0.6	40
MX	222089300	0.5	40
DE	222089300	1	45
gb	222089300	1	45
FR	222089300	1.2	50
IT	222089300	1	45
SE	222089300	1	45
BE	222089300	1.2	50
DK	222089300	1	45
FI	222089300	1	45
IE	222089300	1	45
NO	222089300	1	45
US	222089300	1.5	55
KR	222089300	1.2	50
JP	222089300	1	45
AU	222089300	1.2	50
CR	222089300	1	45
CA	222089300	1.2	50
CH	222089300	1.2	50
TH	222089300	0.6	40
TR	222089300	1	45
RS	222089300	0.6	40
ID	222089300	0.5	40
MY	222089300	0.5	40
SA	222089300	0.5	40
PL	222089300	1	45
PR	222089300	0.5	40
AR	222089300	0.5	40
GP	222089300	0.5	40
IN	222089300	0.5	40
AE	222089300	0.5	40
QA	222089300	0.5	40
GE	222089300	0.5	40
MV	222089300	0.5	40
SG	222089300	0.5	40
AT	222089300	0.5	40
MQ	222089300	0.5	40
MT	222089300	0.5	40
